reportType,timestamp,reportedBy,currentSpeed_kmh,ambientLight,wearableDeviceBPM,latitude,longitude
Car Crash,2024-07-27T06:49:56.532768,user4109,97.99950432271756,2442.5307377262693,0,59.29907230496744,-119.27736211636682
Shelter,2024-07-27T16:59:24.468140,user4081,82.113054061009,371.1404401413972,0,53.83978096834733,-118.61025797458886
Car Crash,2024-07-26T03:35:18.132502,user3463,53.05313313083279,5705.644200703422,0,53.9550146450215,-118.6230582832578
Slow Area,2024-07-26T05:45:58.586549,user1577,107.5963240663737,1156.3736524027001,85,53.961483166663484,-118.53338212203914
Wildfire Zones,2024-07-26T09:37:57.061421,user4683,144.76507693050502,3348.017576927118,111,53.841737105130456,-118.57207473819099
Object Blockage,2024-07-27T20:43:45.845907,user951,87.69372837210993,1953.571774660029,0,56.589912776518794,-115.36749657951833
Wildfire Zones,2024-07-27T08:35:26.942160,user4349,23.959928797416584,1008.9734886343931,0,54.952062271843964,-113.99168345895494
Wildfire Zones,2024-07-26T20:25:36.495166,user2949,105.38105712758123,484.79121861148224,0,53.97356844957001,-118.58182015598543
Safe Zones,2024-07-26T09:45:51.877960,user4721,69.8288316198728,968.592923776352,0,53.868297239316846,-118.61810402927566
Object Blockage,2024-07-26T18:39:10.406276,user2562,1.547890312447605,659.7724768569835,0,53.96364716788178,-118.63294367660866
Object Blockage,2024-07-26T10:52:19.158595,user2775,80.44409301952976,20624.320048177193,0,53.837551687574305,-118.52897786534676
Safe Zones,2024-07-27T18:29:08.501289,user2743,88.73384369899694,5944.802737388978,78,53.995474121391375,-118.61494174317922
Wildfire Zones,2024-07-26T02:44:28.527362,user3980,66.29648689875557,741.9255741695753,0,57.0492439195172,-117.8901768165181
Safe Zones,2024-07-26T06:51:06.472245,user2245,8.269025805919041,1955.4600711308221,159,53.874183303814355,-118.6627433387296
No Gas,2024-07-26T03:34:03.578899,user2423,10.53298453065171,8655.988136700022,0,53.85728419821666,-118.6093259361208
Low Visibility,2024-07-26T14:34:37.266254,user3254,128.5223000007481,399.4803718860915,0,53.951718972945216,-118.53567282876989
Wildfire Zones,2024-07-27T01:53:07.702983,user2962,14.514988457663177,23193.665050429525,0,53.95067658529295,-118.54167368393719
Object Blockage,2024-07-26T01:33:20.280125,user401,41.16742888347189,479.5115130335,0,51.24012869068637,-114.28708061836653
Slow Area,2024-07-26T21:01:19.151218,user374,5.743230456921596,1004.7755945686893,162,53.96238511646638,-118.57645996718988
Object Blockage,2024-07-27T05:37:18.141946,user3172,1.1695101952765874,355.3428791647566,0,53.90756470513647,-118.67087266012807
No Gas,2024-07-27T12:52:08.931808,user4697,1.6656845295643619,1815.5846883975596,114,53.844610599840216,-118.63643907495654
Car Crash,2024-07-27T00:42:13.112198,user943,10.118347621890445,24502.056812630904,126,53.9670775604018,-118.69966711093296
Slow Area,2024-07-27T11:02:07.411644,user1473,54.307999816699024,870.1252903016825,0,53.87515188608219,-118.66799112667046
No Gas,2024-07-26T12:19:01.338867,user1814,0.7432678969556572,16152.876605187406,144,53.92932147284393,-110.1455325128434
Shelter,2024-07-27T22:58:15.379775,user323,26.67144555889704,1325.862843832113,0,53.910628348830926,-118.54152451171862
Object Blockage,2024-07-27T16:54:47.945926,user3625,23.99009270668959,167.37272628766752,0,48.670469473923035,-112.11752516085426
Shelter,2024-07-26T08:02:01.820736,user3435,7.7955076628474975,7078.742942243812,171,53.897764598424835,-118.63893249303719
Car Crash,2024-07-27T12:25:34.701384,user989,26.9672350967158,1469.762949345397,0,53.84495737520807,-118.6014487521654
First Responders,2024-07-26T09:28:43.053260,user1363,9.518067844705614,311.22432141782184,0,53.83669969040426,-118.50924195355846
Low Visibility,2024-07-26T19:54:31.770990,user4309,9.73449340357668,1937.9176541651384,0,53.84739033429441,-118.62935086488473
No Gas,2024-07-26T07:12:49.259039,user2302,15.612104798289716,17563.6918304031,153,53.847029744350124,-118.5343672389888
Low Visibility,2024-07-27T04:01:52.697757,user4073,144.819125888139,27761.34452396818,83,50.895889149541176,-112.5337743278385
Car Crash,2024-07-26T23:29:58.907094,user3930,114.46583947234035,16248.389563401897,116,53.91414102114209,-118.59587929889199
Safe Zones,2024-07-26T02:37:09.435943,user4991,10.011465717454836,1053.0939495581306,78,53.89540962883011,-118.53543489369109
Shelter,2024-07-27T15:55:31.998513,user1736,2.2207530489466585,1215.4642113780021,0,53.95897011228661,-118.69176694373851
Slow Area,2024-07-27T17:00:58.614814,user3099,114.05835825376714,26999.345334804006,135,49.34048348383459,-116.94602416051004
Shelter,2024-07-26T14:44:02.423575,user2193,70.10886225086279,187.522483749338,180,53.84504380850003,-118.60464089444906
No Gas,2024-07-27T00:53:38.185590,user3799,146.62168277082202,170.53639861914814,76,53.93515556996442,-118.6819714740092
Wildfire Zones,2024-07-27T00:35:54.760420,user4830,18.81462233525575,24696.135614189938,0,53.88589026588301,-111.39703260840972
Car Crash,2024-07-27T02:54:07.631760,user2803,83.92620574915873,160.6078347585217,163,53.910574809242235,-118.52387568976197
Wildfire Zones,2024-07-27T00:37:52.001386,user4591,13.557362701138576,9511.11273513715,0,53.961718241990766,-118.69754028426682
Shelter,2024-07-26T22:28:58.151725,user1770,28.662199190958837,932.6363387100945,0,53.886565917597316,-118.64346771663814
Safe Zones,2024-07-27T14:33:24.771981,user4758,41.712540347638495,827.0610966158445,167,53.85813847053339,-118.51794993428446
No Gas,2024-07-26T01:41:05.614175,user635,18.982062431795125,2495.9060335931003,0,53.90660641384266,-118.52820322692183
Car Crash,2024-07-26T09:35:27.996816,user1951,112.47271278650837,919.9219287335368,0,53.86592756637133,-118.51268607243553
Safe Zones,2024-07-27T14:45:17.008186,user3683,25.064206834879947,821.6121861524475,141,53.80552098323771,-118.50894077076879
No Gas,2024-07-27T09:54:23.258599,user2031,24.415530837577023,6175.849414531613,130,52.70252557398077,-114.05091536325078
Object Blockage,2024-07-27T21:47:08.587786,user954,27.076633467524662,5171.319306415715,100,53.94917666005404,-118.56595683702228
Wildfire Zones,2024-07-26T09:17:07.682080,user61,42.25963465944054,858.9877261782469,93,53.93224412477578,-118.59942452743147
First Responders,2024-07-27T06:29:35.740596,user3441,4.3807671478612065,968.3693014778659,0,53.907967675501304,-118.54728681086418
Wildfire Zones,2024-07-26T03:23:03.781650,user1455,26.42742257167479,175.69727025777982,98,58.432202865438306,-113.05043314616594
First Responders,2024-07-26T09:46:02.744415,user1542,24.47431297643482,109.2093190708856,0,53.925672529561474,-118.53487555128672
Shelter,2024-07-26T09:55:36.166169,user3129,141.86754686865333,502.6261140165727,0,53.92007875904845,-118.66889474181244
Wildfire Zones,2024-07-26T21:31:28.929900,user106,11.892775099544636,998.8240359228437,110,53.84077211040487,-118.6393975729688
Shelter,2024-07-26T19:02:45.331076,user1860,146.53263895086883,1496.697120150781,0,53.936303788619405,-118.62779371368852
Object Blockage,2024-07-27T23:28:40.458774,user4912,9.558852358199715,10.500699182453666,174,53.944876951084346,-118.63324553711578
No Gas,2024-07-26T17:10:24.296926,user3641,25.594580878970373,8098.034902288821,0,53.93203164056189,-118.60171142986061
Safe Zones,2024-07-27T15:43:16.626879,user550,56.659848105616675,941.0733279250836,78,53.88178072675355,-118.63935595297006
Slow Area,2024-07-26T08:16:35.796896,user2366,134.0454878053035,1612.5452464806567,0,53.95544046388324,-118.66449688158004
Slow Area,2024-07-26T00:13:32.902153,user2581,0.5031759277142844,20234.847497079652,155,53.83085002351593,-118.68840586552277
Shelter,2024-07-26T21:01:12.936361,user3091,14.414013711850583,1049.786784047475,0,53.98430358386972,-118.51784380826437
Shelter,2024-07-27T16:37:17.710840,user796,140.29137347270722,1887.5671843919044,0,53.807417703039995,-118.6996036481907
Low Visibility,2024-07-26T19:59:20.096213,user886,4.682532859762115,11568.214901751695,0,53.894710643909946,-118.57096656372585
Wildfire Zones,2024-07-26T17:54:13.478023,user1911,26.240160906143,1244.7756306493588,0,53.86393728628254,-118.5334572041619
Safe Zones,2024-07-27T18:09:32.007796,user2851,5.173217166956458,808.7634619584906,116,53.817984004306076,-118.50450229753626
Slow Area,2024-07-26T05:08:47.259435,user3688,6.232616218663143,1227.8984862957977,165,53.937572883594555,-118.51909067965924
Shelter,2024-07-26T04:34:00.693906,user3331,82.91482465760379,902.5827091396229,0,53.840082205170056,-118.50751410354432
Slow Area,2024-07-27T06:54:52.911947,user934,8.90788876836049,1423.1236978198922,0,57.73702893353502,-118.1911792738496
Wildfire Zones,2024-07-27T17:40:59.284014,user229,96.14499657782407,18156.570611916548,122,50.922181942563384,-119.44830869443501
First Responders,2024-07-27T00:05:06.390213,user356,24.04144169624305,356.146316783476,70,53.84644128470115,-118.6748585705738
Safe Zones,2024-07-26T16:28:40.753133,user3803,12.900091507427454,270.3737777595939,157,50.72638203309387,-114.14096947305077
Safe Zones,2024-07-27T05:23:12.066033,user1769,12.703376572187866,676.9190325146998,0,53.954804079556126,-118.51515787512776
Car Crash,2024-07-27T04:48:53.485990,user1122,138.30046164079087,7903.241591500447,93,57.68379654049292,-112.35305782737653
Shelter,2024-07-26T19:39:23.465146,user2035,0.8851586908673659,89.87414688314865,0,53.999143777067694,-118.61046619429376
Shelter,2024-07-26T05:24:14.682520,user993,2.442611966887176,28155.547525455342,0,53.89473450983041,-118.696634496104
No Gas,2024-07-26T12:37:43.359699,user1041,19.151635256112353,583.5323973530208,0,53.82377919228941,-118.50250408197911
No Gas,2024-07-27T13:49:01.240482,user2473,4.165948759065495,722.806869689505,0,50.26582568001346,-111.14112757467613
Wildfire Zones,2024-07-26T06:50:46.437052,user273,15.745018661981335,928.3821030025855,0,53.98583361027235,-118.54067185731563
Shelter,2024-07-26T00:53:05.950916,user1122,23.89380252688784,1474.0454877648026,0,53.9164838003567,-118.52830745929641
Object Blockage,2024-07-26T19:56:16.579981,user1898,135.00130918986343,10085.86373702535,80,53.859796210660235,-118.69501097908162
Wildfire Zones,2024-07-27T17:03:23.626649,user3471,96.60481090606964,772.6979257207175,0,53.997376819514756,-118.63418738711502
Low Visibility,2024-07-26T04:49:27.958402,user4411,29.894884258304415,832.1052628063014,0,48.80400817945783,-111.99064736030194
Wildfire Zones,2024-07-27T16:06:16.158274,user2650,4.460668218877533,624.7697648568054,154,53.8300232331745,-118.51391653905793
First Responders,2024-07-26T05:04:13.657283,user4874,19.524876269281872,1316.182488682873,77,53.93397224145718,-118.59377371230272
Safe Zones,2024-07-27T23:11:34.033711,user4442,12.530740541661158,901.5247967936044,149,53.95501073545212,-118.55719131530104
Safe Zones,2024-07-26T03:37:37.701532,user2460,6.45733041248111,954.7352949059124,0,53.47321669364869,-118.6259647662178
First Responders,2024-07-27T14:12:04.967702,user3612,2.3100354659488866,13811.982905288818,0,53.91082277505597,-118.55971584589791
First Responders,2024-07-27T19:58:43.487065,user2546,26.134542240227624,1011.7837238004337,0,53.92652319157002,-118.52422735067795
Low Visibility,2024-07-26T15:38:12.202573,user3081,2.770863561137933,64.06992477356354,0,52.6421556539991,-111.08981138358943
No Gas,2024-07-27T18:19:15.568976,user397,11.138737198230457,1455.5340175061488,0,53.14476668896245,-118.60531198995707
Wildfire Zones,2024-07-27T16:37:24.206095,user3137,0.5682745975418624,1550.412407781798,156,53.815876083522575,-118.5328820171884
No Gas,2024-07-27T17:18:30.104686,user375,16.958698892286094,16795.184709106798,0,53.936136374631175,-118.69091590481052
Low Visibility,2024-07-27T06:04:47.612295,user886,11.113839646184196,753.4108238680482,76,53.96901950774589,-118.53083860547405
Wildfire Zones,2024-07-26T09:40:37.764950,user1322,25.174051995040074,70.94436885573275,70,53.882734361295185,-118.55854247967075
Low Visibility,2024-07-26T13:13:17.321836,user3066,17.998057472561072,1947.7414482865793,83,53.97241892383053,-118.63510712772587
Shelter,2024-07-27T19:15:05.691168,user3687,24.158032316019284,872.481509715844,0,53.81084087557816,-118.55988473028029
Low Visibility,2024-07-26T15:56:05.301712,user1483,71.84445913544843,16064.546347375535,130,53.98023695643437,-118.60929595986094
Low Visibility,2024-07-26T18:53:21.861304,user3681,2.8247086922110975,1538.178281236611,102,53.88799906176313,-118.67480549918699
Object Blockage,2024-07-27T00:40:34.557711,user3698,6.796211634433992,741.2582811372051,0,53.888072748862776,-118.51375327840455
Wildfire Zones,2024-07-27T12:46:03.754214,user2485,22.228279287272578,869.8481160099511,130,53.966457533284824,-118.5822991393405
Slow Area,2024-07-26T20:41:30.005581,user3297,127.21039900835105,25056.926484849275,0,53.98123092154746,-118.68419873483118
First Responders,2024-07-27T04:50:13.104473,user1598,57.72373163404443,881.2124782169393,170,53.94977319583342,-118.65491187864565
Slow Area,2024-07-27T15:35:42.439715,user3045,3.1457633569583376,284.5137957359226,0,58.36637771301914,-119.8035637893318
Object Blockage,2024-07-27T20:07:38.353528,user3605,16.18058115782718,23007.097164537834,0,53.98207535872459,-118.53294632804013
First Responders,2024-07-27T17:00:31.238281,user2702,112.52617811781438,6782.130968769915,0,53.95332975266593,-118.65121010563907
Safe Zones,2024-07-27T20:47:22.877107,user2493,19.474596795279766,544.9891740593157,0,53.9445578754078,-118.58475481217071
Slow Area,2024-07-26T07:24:24.146705,user61,10.614977916252856,27843.32087925391,0,53.887560500497905,-118.522112271385
Object Blockage,2024-07-27T11:24:07.272651,user1059,23.974415408827802,1670.7132405757852,0,49.38583219866206,-118.432481407438
First Responders,2024-07-27T02:13:57.105146,user2475,46.40325583882441,238.05500134143165,87,53.856147340049645,-118.58039526197572
Object Blockage,2024-07-27T11:37:42.164143,user722,20.57692624876243,1216.716025860101,71,53.849565707611525,-118.69376186068878
First Responders,2024-07-26T20:20:56.945799,user1052,22.957600652161457,676.1298697722247,0,53.929311712434405,-118.54301606492561
Wildfire Zones,2024-07-26T02:15:42.926012,user4176,92.82126364847285,330.1964009590933,130,53.885315288882026,-118.56591801038046
First Responders,2024-07-27T19:52:18.660911,user3616,15.024762193691569,1102.6395741592753,136,57.706795572065374,-115.28519333842954
No Gas,2024-07-27T12:17:38.267167,user207,107.07528016622668,271.7075465984117,0,53.919013277751446,-118.5948759852666
Slow Area,2024-07-27T14:23:43.603890,user3037,14.586549647684299,131.38528182426157,162,53.978109569161376,-118.59309706568821
Wildfire Zones,2024-07-26T06:54:00.783668,user2741,79.32609525070163,24748.542387683803,0,53.84479006588355,-118.56197208143352
Slow Area,2024-07-27T00:06:42.698050,user292,23.677696988894436,929.8598305786518,0,53.83560755196481,-118.69733816172837
No Gas,2024-07-26T23:09:13.147728,user1982,65.30715837101945,19277.017773139207,81,53.968940711578526,-118.64454999570789
First Responders,2024-07-26T01:15:38.997326,user701,2.619578320339505,25974.234859647415,78,53.97934731542453,-118.60928009433685
Low Visibility,2024-07-26T15:55:14.967118,user2568,52.764849398868535,306.4966990345666,0,53.96138521914249,-118.63812832209086
First Responders,2024-07-26T12:08:58.667048,user2068,2.765923856142083,110.31103165176536,0,59.245189730193516,-110.6657348808523
First Responders,2024-07-26T08:33:12.400633,user1104,127.2896976467673,510.676067770974,131,53.932855992412335,-118.68933829951924
First Responders,2024-07-27T13:00:49.405947,user1901,88.28025417569933,15224.671822165239,0,58.64794793537348,-117.88895467953012
Low Visibility,2024-07-27T16:39:55.092283,user4152,107.01233329479794,1802.9210274009074,138,53.91789348521988,-118.54255178982551
Low Visibility,2024-07-27T01:11:13.318618,user2902,42.65684668015424,1428.2403324827944,0,53.92977231693638,-118.65568839010375
First Responders,2024-07-26T11:02:37.825292,user3855,112.69048640911168,304.25875512277736,93,51.98475521281942,-110.4632276957062
Car Crash,2024-07-26T13:46:16.826906,user1485,26.223347098700874,23.949526784475815,0,53.946329796853156,-118.63858149647712
Low Visibility,2024-07-26T08:04:26.673803,user3624,29.54580581154731,922.0337528081083,71,56.64187902812037,-112.41760126712039
Object Blockage,2024-07-26T02:08:14.287949,user4624,11.794511297259747,2198.1888900888616,82,54.26710428519554,-112.70643240671956
Slow Area,2024-07-27T03:16:47.250055,user2873,19.556894082318856,1395.8606219420421,0,50.734152345867365,-117.6894946986667
Safe Zones,2024-07-27T19:16:14.998354,user4759,145.73234765235293,1590.4634753334813,0,53.89513871082315,-118.50047557054258
Object Blockage,2024-07-26T18:35:23.955443,user2246,25.47220443479173,22934.9509554368,112,53.98896433461159,-118.69252353991794
Car Crash,2024-07-26T16:07:42.960716,user3319,8.797120360109929,10232.239826983987,0,57.76904528986648,-114.78056938333035
Shelter,2024-07-26T05:55:31.664783,user3831,11.557187280547117,808.6720684778717,89,53.95808349453912,-118.60719657029335
Low Visibility,2024-07-27T11:06:22.877896,user3383,26.527393499722297,299.50701241521807,0,53.84448768036709,-118.55863401662816
No Gas,2024-07-26T14:43:45.322320,user31,68.4084394726051,831.2099569769132,0,57.336565275308075,-115.05748730658692
Wildfire Zones,2024-07-26T04:16:00.355938,user1711,83.20960462183128,224.47572219401047,176,53.90342745326697,-118.63208026432558
Low Visibility,2024-07-26T21:37:03.572785,user2820,25.90818192699436,585.2605605669826,79,53.81535784740802,-118.63440850852108
Low Visibility,2024-07-27T11:33:31.066961,user4305,7.693510380404998,1541.0804564981363,0,53.85359465366072,-118.62336510113118
Object Blockage,2024-07-26T20:18:21.684943,user1509,16.51658546364465,17611.173076231615,101,53.854907923193394,-118.68543320067677
Wildfire Zones,2024-07-27T02:46:48.593251,user816,24.13686687264128,5994.593162290408,0,53.91935641338205,-118.52399773179884
Low Visibility,2024-07-27T19:49:55.905885,user1223,149.25636830486638,281.97979586827915,148,53.81024570820526,-118.55557690447411
No Gas,2024-07-27T22:26:42.029983,user3170,50.715882883337216,838.534149408022,109,56.85074749892079,-110.62706780046074
Object Blockage,2024-07-26T06:50:09.651173,user4014,93.07431464508714,8008.135186868377,0,53.80433709928528,-118.5532308378624
Wildfire Zones,2024-07-26T03:15:20.711653,user321,18.070319992296213,211.51752396204793,0,53.98549626277085,-118.5306096878849
Slow Area,2024-07-27T22:46:25.970162,user2992,56.888139348513675,91.55075720826777,134,57.77867163291086,-113.19452708485328
Safe Zones,2024-07-27T05:02:18.941262,user3928,37.385804247469196,619.2199649827813,0,53.959570030760624,-118.59706191840462
Slow Area,2024-07-26T03:33:05.291517,user604,108.82883818345458,1330.3472569145863,139,53.85314698829917,-118.67403582266687
Shelter,2024-07-27T18:21:32.857811,user2440,106.65170350878199,15094.20401347923,163,53.806393844766546,-118.53550823109585
Safe Zones,2024-07-26T02:21:19.788272,user4430,137.0954400011662,15404.422695536981,132,53.85599705100344,-118.63230178016923
First Responders,2024-07-27T23:05:24.663829,user2497,127.45906400011302,1907.4356909587957,161,53.94757007459819,-118.57426619574063
Slow Area,2024-07-26T20:58:47.102026,user690,35.46661450674819,21467.895862207264,87,53.14125793343184,-114.2873724215958
Low Visibility,2024-07-27T19:26:00.354957,user1021,11.978697829856893,8842.012513297246,0,53.82799618957261,-118.53765550364704
Shelter,2024-07-26T14:03:34.540400,user2656,1.5393649982666313,1806.409638540265,0,53.81815938675852,-118.65376260188575
No Gas,2024-07-27T22:24:10.884657,user2690,26.913235113281686,1456.9583220251166,101,53.98172810127799,-118.55588006066104
No Gas,2024-07-26T08:22:02.697575,user2910,16.938217957953103,3577.2973015163293,78,53.963774993828736,-118.57261005173645
Safe Zones,2024-07-27T00:28:24.684835,user1056,139.1675994337058,17803.744278014485,99,53.95225255175909,-118.68400140669247
Shelter,2024-07-26T12:27:32.472480,user1350,14.762975870265077,27112.994333877676,0,53.858401092696795,-118.53524626330436
First Responders,2024-07-26T20:52:37.727838,user4797,2.2889697455226274,923.2285492865068,0,53.92691469640298,-118.64487714752784
Wildfire Zones,2024-07-27T17:09:08.003681,user1899,57.23384397881796,1910.0262341851749,143,53.93538486125173,-118.54051714338301
Shelter,2024-07-27T04:38:35.095049,user2665,12.292028397174827,11879.995323579205,0,53.92033231693771,-118.5025119985104
Object Blockage,2024-07-26T15:11:05.243980,user2394,12.139296735659034,15459.014333565967,88,53.83236859342279,-118.53411511868732
Safe Zones,2024-07-27T13:23:52.548311,user2173,23.703504172414828,183.94119985566337,95,53.764183840759614,-116.13363048961922
No Gas,2024-07-26T16:41:24.286961,user1258,102.68304902087417,1178.0775481218598,0,53.997591415323186,-118.61671822280289
Shelter,2024-07-26T10:51:39.909093,user3360,88.41452054454487,26410.38142398132,0,53.89144226884813,-118.55187536019503
No Gas,2024-07-27T10:27:54.731545,user4964,3.216982549414702,1270.5368993603315,76,53.900469016471185,-118.59064399486321
